[2025-12-13 19:30:24] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-12-13 19:30:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 19, 'tts': False, 'timestamp': '2025-12-13T12:30:25.883000+00:00', 'referenced_message': {'webhook_id': '1446860624020902030', 'type': 0, 'tts': False, 'timestamp': '2025-12-13T04:17:42.668000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1449253929664643122', 'flags': 0, 'embeds': [{'url': 'https://fireant.vn/bai-viet/nlg-nam-long-chao-ban-thanh-cong-97-trieu-co-phieu-cho-co-dong/37238105', 'type': 'rich', 'title': '🔥 NLG: Nam Long chào bán thành công 97 triệu cổ phiếu cho cổ đông', 'id': '1449253929664643123', 'description': 'Đợt chào bán 100,1 triệu cổ phiếu của Nam Long nhận được mức độ quan tâm cao khi cổ đông đã nộp tiền mua hơn 97 triệu đơn vị, chỉ còn hơn 3 triệu cổ phiếu tiếp tục được phân phối cho các nhà đầu tư cá nhân.\nNguồn: **FireAnt**\nThời gian: **2025-12-13 10:03:00**', 'content_scan_version': 0, 'color': 65280}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_id': '1445423293841805464', 'author': {'username': 'Tin hôm nay', 'id': '1446860624020902030', 'global_name': None, 'discriminator': '0000', 'bot': True, 'avatar': None}, 'attachments': []}, 'pinned': False, 'nonce': '1449377925294981120', 'message_reference': {'type': 0, 'message_id': '1449253929664643122', 'guild_id': '1442840006749323387', 'channel_id': '1445423293841805464'}, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T11:31:04.487000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449377926775836772', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!tomtat', 'components': [], 'channel_type': 0, 'channel_id': '1445423293841805464', 'author': {'username': 'cuccucthanthanh', 'public_flags': 0, 'primary_guild': None, 'id': '482422953263366144', 'global_name': 'tasukete svarogu', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'fdd4317564f1e7015a29745b307a769f'}, 'attachments': [], 'guild_id': '1442840006749323387'}}
[2025-12-13 19:30:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-13 19:30:25] [DEBUG   ] discord.client: Dispatching event message
[2025-12-13 19:30:25] [DEBUG   ] discord.client: Dispatching event command
[2025-12-13 19:30:26] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1445423293841805464/messages/1449253929664643122 with None has returned 200
[2025-12-13 19:30:26] [DEBUG   ] discord.http: GET /channels/{channel_id}/messages/{message_id} has found its initial rate limit bucket hash (479c05630b7b353bb5c63f707eeef2ee).
[2025-12-13 19:30:26] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1445423293841805464/messages/1449253929664643122 has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'url': 'https://fireant.vn/bai-viet/nlg-nam-long-chao-ban-thanh-cong-97-trieu-co-phieu-cho-co-dong/37238105', 'title': '🔥 NLG: Nam Long chào bán thành công 97 triệu cổ phiếu cho cổ đông', 'description': 'Đợt chào bán 100,1 triệu cổ phiếu của Nam Long nhận được mức độ quan tâm cao khi cổ đông đã nộp tiền mua hơn 97 triệu đơn vị, chỉ còn hơn 3 triệu cổ phiếu tiếp tục được phân phối cho các nhà đầu tư cá nhân.\nNguồn: **FireAnt**\nThời gian: **2025-12-13 10:03:00**', 'color': 65280, 'content_scan_version': 0}], 'timestamp': '2025-12-13T04:17:42.668000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1449253929664643122', 'channel_id': '1445423293841805464', 'author': {'id': '1446860624020902030', 'username': 'Tin hôm nay', 'avatar': None, 'discriminator': '0000', 'public_flags': 0, 'flags': 0, 'bot': True, 'global_name': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'webhook_id': '1446860624020902030'}
[2025-12-13 19:30:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-13T12:30:41.556000+00:00', 'pinned': False, 'nonce': '15351494602474913777', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1442865601583251479'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-25T13:12:46.657000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449377992513159300', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Bài tóm tắt dưới 200 từ:\n\n1. CTCP Đầu tư Nam Long (NLG) đã công bố kết quả đợt chào bán 100,1 triệu cổ phiếu, theo đó, cổ đông hiện hữu đã đăng ký mua và hoàn tất thanh toán 97,1 triệu đơn vị, đạt khoảng 97% tổng lượng chào bán.\n2. Hơn 3 triệu cổ phiếu còn lại sẽ tiếp tục được phân phối cho 282 nhà đầu tư cá nhân với giá 25.000 đồng/CP, tổng số tiền ước tính Nam Long thu về từ đợt chào bán là hơn 2.500 tỷ đồng, nâng vốn điều lệ lên gần 4.852 tỷ đồng. Số cổ phiếu này bị hạn chế giao dịch 1 năm.\n3. Nguồn vốn huy động được dự kiến phân bổ cho việc thanh toán các khoản vay (640 tỷ đồng), đầu tư các dự án (1.597 tỷ đồng) và rót vốn vào hai công ty con chủ lực (265 tỷ đồng).\n4. Lũy kế 9 tháng đầu năm 2025, Nam Long đạt doanh thu thuần 3.941 tỷ đồng (+376%) và lợi nhuận sau thuế của cổ đông công ty mẹ đạt 354 tỷ đồng (gấp 23 lần so với cùng kỳ 2024), hoàn thành 50,5% chỉ tiêu lợi nhuận năm.\n5. Trên thị trường chứng khoán, cổ phiếu NLG đang chịu áp lực điều chỉnh gần đây, giảm 13,12% trong khoảng một tháng, từ 37.900 đồng/CP xuống 32.900 đồng/CP.', 'components': [], 'channel_type': 0, 'channel_id': '1445423293841805464', 'author': {'username': 'tin_doanh_nghiep', 'public_flags': 0, 'primary_guild': None, 'id': '1442862200480989256', 'global_name': None, 'display_name_styles': None, 'discriminator': '2671', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '969e257ab2c02e20e93bf609010bf605'}, 'attachments': [], 'guild_id': '1442840006749323387'}}
[2025-12-13 19:30:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
