level,fullTitleVi,fullTitleEn,2017_5,2018_5,2019_5,2020_5,2021_5,2022_5,2023_5,2024_5
2,Hà Nội,Hanoi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Đồng bằng sông Cửu Long,Mekong Delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Miền trung,Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Khác,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Các khoản cho vay phân theo nhóm khách hàng,Loans and advances by types of customers,160849037000000.0,159939217000000.0,230802027000000.0,277524615000000.0,347341244000000.0,420523705000000.0,518641568000000.0,631724964000000.0
2,Doanh nghiệp nhà nước,State-owned companies,8881197000000.0,6978572000000.0,5864415000000.0,6188601000000.0,4868545000000.0,4566964000000.0,2054681000000.0,1527505000000.0
2,Công ty TNHH và cổ phần,Limited and joint stock Companies,83821259000000.0,77809083000000.0,116766713000000.0,158301254000000.0,178500192000000.0,187724392000000.0,290539777000000.0,345650911000000.0
2,Doanh nghiệp nước ngoài,Foreign companies,2076046000000.0,2039895000000.0,2104387000000.0,1345667000000.0,1949719000000.0,1208940000000.0,4387486000000.0,12167778000000.0
2,Hợp tác xã và công ty tư nhân,Local and private companies,472129000000.0,347874000000.0,479724000000.0,275967000000.0,362164000000.0,158070000000.0,178696000000.0,62200000000.0
2,Cá nhân,Individuals,64777431000000.0,72383679000000.0,105247350000000.0,111139446000000.0,161657101000000.0,217452344000000.0,204861339000000.0,246405324000000.0
2,Khác,Others,820975000000.0,380114000000.0,339438000000.0,273680000000.0,3523000000.0,9412995000000.0,16619589000000.0,25911246000000.0
1,Chứng khoán đầu tư,Investment Securities,51542484000000.0,86512348000000.0,66054597000000.0,84447241000000.0,97586088000000.0,103651920000000.0,104993945000000.0,148623636000000.0
2,Chứng khoán đầu tư sẵn sàng để bán,Available-for-sale Investment Securities,45861547000000.0,66435570000000.0,65916341000000.0,84248741000000.0,97577461000000.0,103651920000000.0,104993945000000.0,141764136000000.0
2,Chứng khoán Nợ,Debt Securities,45798398000000.0,66625257000000.0,65503185000000.0,84177005000000.0,97435523000000.0,102946394000000.0,104222477000000.0,141070873000000.0
2,Trái phiếu Chính phủ,Government Bonds,13048507000000.0,8793593000000.0,14807620000000.0,17367757000000.0,14437924000000.0,37868964000000.0,21395567000000.0,42886656000000.0
2,Trái phiếu do chính phủ bảo lãnh,Government Guaranteed bonds,12459709000000.0,11114162000000.0,12313699000000.0,9568061000000.0,4583639000000.0,3881081000000.0,7509265000000.0,5471871000000.0
2,Trái phiếu do các TCTD khác trong nước phát hành,Securities issued by other local credit institutions,4550570000000.0,8402626000000.0,7985625000000.0,10712533000000.0,15805167000000.0,20181527000000.0,32888990000000.0,46889382000000.0
2,Trái phiếu do các TCKT trong nước phát hành,Securities issued by other local economic entities,15739612000000.0,38314876000000.0,30396241000000.0,46528654000000.0,62608793000000.0,41014822000000.0,42428655000000.0,45822964000000.0
2,Chứng khoán Nợ nước ngoài,Foreign Equity Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chứng khoán Vốn,Equity Securities,220000000000.0,4000000.0,655524000000.0,455947000000.0,656539000000.0,1085527000000.0,1133771000000.0,1131919000000.0
2,Chứng khoán Vốn do các TCTD khác trong nước phát hành,Equity Securities issued by other local credit institutions,0.0,0.0,200000000000.0,0.0,0.0,0.0,498245000000.0,1126377000000.0
2,Chứng khoán Vốn do các TCKT trong nước phát hành,Equity Securities issued by other local economic entities,220000000000.0,4000000.0,455524000000.0,455947000000.0,656539000000.0,1085527000000.0,635526000000.0,5542000000.0
2,Chứng khoán Vốn nước ngoài,Foreign Equity Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dự phòng rủi ro chứng khoán sẵn sàng để bán,Allowances for Available-for-sale Securities,-156851000000.0,-189691000000.0,-242368000000.0,-384211000000.0,-514601000000.0,-380001000000.0,-362303000000.0,-438656000000.0
2,Dự phòng giảm giá,Allowances for decline in value of Available-for-sale Securities,-15816000000.0,-3797000000.0,-2183000000.0,-12145000000.0,-21575000000.0,-43713000000.0,-45204000000.0,-23939000000.0
2,Dự phòng chung,General allowance,-141035000000.0,-185894000000.0,-240185000000.0,-372066000000.0,-456507000000.0,-291944000000.0,-301059000000.0,-334518000000.0
2,Dự phòng cụ thể,Specific allowance,0.0,0.0,0.0,0.0,-36519000000.0,-44344000000.0,-16040000000.0,-80199000000.0
2,Chứng khoán đầu tư giữ đến ngày đáo hạn,Held-to-maturity investment securities,5680937000000.0,20076778000000.0,138256000000.0,198500000000.0,8627000000.0,0.0,0.0,6859500000000.0
2,Chứng khoán nợ,Debt Securities,5715484000000.0,20236200000000.0,202006000000.0,200000000000.0,200000000000.0,0.0,0.0,6900000000000.0
2,Trái phiếu Chính phủ,Government Bonds,569283000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Trái phiếu do chính phủ bảo lãnh,Government Guaranteed bonds,30001000000.0,30000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Trái phiếu do các TCTD khác trong nước phát hành,Debt Securities issued by other local credit institutions,2000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000000000.0
2,Trái phiếu do các TCKT trong nước phát hành,Debt Securities issued by other local economic entities,3116200000000.0,20206200000000.0,202006000000.0,200000000000.0,200000000000.0,0.0,0.0,5400000000000.0
2,Chứng khoán Nợ nước ngoài,Foreign Equity Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Trái phiếu đặc biệt do VAMC phát hành,Special Bonds issued by VAMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,Allowances for Held-to-maturity investment securities,-34547000000.0,-159422000000.0,-63750000000.0,-1500000000.0,-191373000000.0,0.0,0.0,-40500000000.0
2,Dự phòng giảm giá,Allowances for decline in value of Held-to-maturity investment securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dự phòng chung,General allowance,-34547000000.0,-159422000000.0,-63750000000.0,-1500000000.0,0.0,0.0,0.0,-40500000000.0
2,Dự phòng cụ thể,Specific allowance,0.0,0.0,0.0,0.0,-191373000000.0,0.0,0.0,0.0
2,Dự phòng trái phiếu đặc biệt,Allowances for Special Bonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Các khoản tiền gửi phân theo loại tiền gửi,Deposits by type of deposits,170970833000000.0,201414532000000.0,231296761000000.0,277458651000000.0,314752525000000.0,358403785000000.0,454660779000000.0,533392350000000.0
2,Tiền gửi không kỳ hạn,Current Deposits,38234560000000.0,54612613000000.0,76053396000000.0,122972489000000.0,147861145000000.0,123079324000000.0,172755713000000.0,191719796000000.0
2,Tiền gửi có kỳ hạn,Term Deposits,129727778000000.0,143613379000000.0,151581145000000.0,149420224000000.0,155894254000000.0,225941947000000.0,273186988000000.0,334149944000000.0
2,Tiền gửi tiết kiệm,Saving deposits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tiền gửi ký quỹ,Margin deposits,3008495000000.0,3188540000000.0,3662220000000.0,5065938000000.0,10997126000000.0,9382514000000.0,8718078000000.0,7522610000000.0
2,Tiền gửi cho những mục đích riêng biệt,Deposits for special purposes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Các khoản tiền gửi phân theo loại tiền tệ,Deposits by Currency,170970833000000.0,201414532000000.0,231296761000000.0,277458651000000.0,314752525000000.0,358403785000000.0,454660779000000.0,533392350000000.0
2,VNĐ,Denominated in VND,158899118000000.0,187841737000000.0,219448924000000.0,265502586000000.0,302796460000000.0,345100082000000.0,440712506000000.0,513199928000000.0
2,Ngoại tệ,Denominated in FC,12071715000000.0,13572795000000.0,11847837000000.0,11956065000000.0,11956065000000.0,13303703000000.0,13948273000000.0,20192422000000.0
1,Các khoản tiền gửi phân theo nhóm khách hàng,Deposits by type of customers,170970833000000.0,201414532000000.0,231296761000000.0,277458651000000.0,314752525000000.0,358403785000000.0,454660779000000.0,533392350000000.0
