level,fullTitleVi,fullTitleEn,2017_5,2018_5,2019_5,2020_5,2021_5,2022_5,2023_5,2024_5
1,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Operating profit/(loss) before changes in Working Capital,11509394000000.0,9926403000000.0,13007909000000.0,17631283000000.0,23061616000000.0,29013569000000.0,24938816000000.0,31037437000000.0
1,Tiền gửi tại NHNN,(Increase)/decrease in compulsory reserves with the SBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Increase/(decrease) in placements with and loans to other credit institutions,-1202041000000.0,2576067000000.0,2033530000000.0,1401381000000.0,-23454273000000.0,18490986000000.0,-12287858000000.0,12721924000000.0
2,Tăng/giảm các khoản về kinh doanh chứng khoán,Increase/(decrease) in trading securities,-3337613000000.0,-35935551000000.0,18030873000000.0,-16005291000000.0,-10804075000000.0,13920515000000.0,-19582416000000.0,-31627229000000.0
2,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Increase/(decrease) in derivatives and other financial assets,-36292000000.0,36292000000.0,0.0,0.0,-293768000000.0,293768000000.0,-143611000000.0,143611000000.0
2,Tăng/giảm các khoản cho vay khách hàng,Increase/(decrease) in loans and advances to customers,-18233033000000.0,909820000000.0,-70862810000000.0,-46722588000000.0,-69816629000000.0,-73182461000000.0,-98117863000000.0,-113083396000000.0
2,"(Tăng)/Giảm lãi, phí phải thu",(Increase)/decrease in interest receivable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Increase/(decrease) in provision for loan losses,-4779696000000.0,-2553203000000.0,-257259000000.0,-3363570000000.0,-626647000000.0,-683006000000.0,-2667877000000.0,-2670781000000.0
2,Tăng/giảm khác về tài sản hoạt động,Increase/(decrease) in other operating assets,-2472881000000.0,-3308223000000.0,-4670454000000.0,-6261043000000.0,-15607626000000.0,-36029613000000.0,-9317279000000.0,34701809000000.0
1,Những thay đổi về công nợ hoạt động,(Increase)/decrease in operating liabilities,,,,,,,,
2,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Increase/(decrease) in Loans from the State and SBV,-447970000000.0,4024907000000.0,-4024907000000.0,0.0,0.0,0.0,0.0,0.0
2,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Increase/(decrease) in placements and Loans from other credit institutions,20850316000000.0,-9898265000000.0,24841075000000.0,-13781823000000.0,64973879000000.0,55104278000000.0,-14389967000000.0,-20933914000000.0
2,Tăng/(Giảm) tiền gửi của khách hàng,Increase/(decrease) in deposits from customers,-2478096000000.0,31443819000000.0,27882109000000.0,46161890000000.0,37294716000000.0,43658244000000.0,96249299000000.0,78742971000000.0
